Element ID;Cost;Flamability;Classification of Flammability;Count;Auto-ignition Temperature;Weight;Description;Diameter;Family;Family and Type;Finish;Internal Current;Voltage;W;Waste Connection NPT;Width;URL
489062;;;;1;;;;;M_Skylight;M_Skylight: 1180 x 1170mm;;;;;;;
498006;;;;1;;;Single Window Unit - Triple Glazed;;Single Window;Single Window: Standard;;;;;;;
499496;;;;1;;;;;Walvit_Hung Bowl_604118 W;Walvit_Hung Bowl_604118 W: Walvit;;;;;;;http://www.caromausa.com/Walvit-RFP
505974;;;;1;;;Internal Single Pocket Slider;;Pocket_Slider_Door_5851;Pocket_Slider_Door_5851: 2.027 x 0.945;;;;;;;
506168;;;;1;;;;;wardrobe1;wardrobe1: wardrobe;;;;;;;
512277;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512279;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512297;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512299;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512319;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512321;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512394;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512396;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512445;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512447;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512449;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512451;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512469;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512471;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512473;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
512475;;;;1;;6000;;300;M_Pile-Steel Pipe;M_Pile-Steel Pipe: 600mm Diameter;;;;;;;
512522;;;;1;;;;;M_Pile Cap-600 Pile;M_Pile Cap-600 Pile: 600 x 600 x 900mm;;;;;;;
